season,episode,img_src,painting_title,hex_codes
1,1,https://www.twoinchbrush.com/images/painting282.png,A Walk in the Woods,#C3913A
1,2,https://www.twoinchbrush.com/images/painting283.png,Mt. McKinley,#9BAAC1
1,3,https://www.twoinchbrush.com/images/painting284.png,Ebony Sunset,#CD700A
1,4,https://www.twoinchbrush.com/images/painting285.png,Winter Mist,#8D938F
1,5,https://www.twoinchbrush.com/images/painting286.png,Quiet Stream,#8CA44C
1,6,https://www.twoinchbrush.com/images/painting287.png,Winter Moon,#8B92AE
1,7,https://www.twoinchbrush.com/images/painting288.png,Autumn Mountain,#9B93A7
1,8,https://www.twoinchbrush.com/images/painting289.png,Peaceful Valley,#8C95A8
1,9,https://www.twoinchbrush.com/images/painting290.png,Seascape,#B48790
1,10,https://www.twoinchbrush.com/images/painting291.png,Mountain Lake,#8594B3
1,11,https://www.twoinchbrush.com/images/painting292.png,Winter Glow,#AB8C62
1,12,https://www.twoinchbrush.com/images/painting293.png,Snow Fall,#849A79
1,13,https://www.twoinchbrush.com/images/painting294.png,Final Reflections,#8EA094
2,1,https://www.twoinchbrush.com/images/painting269.png,Meadow Lake,#80A3B3
2,2,https://www.twoinchbrush.com/images/painting270.png,Winter Sun,#C08C7D
2,3,https://www.twoinchbrush.com/images/painting271.png,Ebony Sea,#BC8095
2,4,https://www.twoinchbrush.com/images/painting272.png,Shades of Grey,#8E938C
2,5,https://www.twoinchbrush.com/images/painting273.png,Autumn Splendor,#8D9781
2,6,https://www.twoinchbrush.com/images/painting274.png,Black River,#B57361
2,7,https://www.twoinchbrush.com/images/painting275.png,Brown Mountain,#7D9998
2,8,https://www.twoinchbrush.com/images/painting276.png,Reflections,#A19599
2,9,https://www.twoinchbrush.com/images/painting277.png,Black and White Seascape,#739B99
2,10,https://www.twoinchbrush.com/images/painting278.png,Lazy River,#829B82
2,11,https://www.twoinchbrush.com/images/painting279.png,Black Waterfall,#8F81B6
2,12,https://www.twoinchbrush.com/images/painting280.png,Mountain Waterfall,#809095
2,13,https://www.twoinchbrush.com/images/painting281.png,Final Grace,#7398B5
3,1,https://www.twoinchbrush.com/images/painting256.png,Mountain Retreat,#969383
3,2,https://www.twoinchbrush.com/images/painting257.png,Blue Moon,#6D81C3
3,3,https://www.twoinchbrush.com/images/painting258.png,Bubbling Stream,#8F9B72
3,4,https://www.twoinchbrush.com/images/painting259.png,Winter Night,#9392A1
3,5,https://www.twoinchbrush.com/images/painting260.png,Distant Hills,#E1989D
3,6,https://www.twoinchbrush.com/images/painting261.png,Covered Bridge,#A38E2C
3,7,https://www.twoinchbrush.com/images/painting262.png,Quiet Inlet,#8BA4A2
