album_release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Song,No,Album,Duration,min,sec
2020,0.392,0.574,7,-9.195,1,0.17,0.833,0.00179,0.145,0.529,81.112,214706,willow, 1,evermore,3:35,3,35
2020,0.462,0.24,0,-12.077,1,0.0377,0.92,0,0.113,0.32,171.319,244000,champagne problems, 2,evermore,4:04,4,04
2020,0.512,0.462,9,-10.491,1,0.0408,0.83,0.166,0.121,0.353,112.05,185320,gold rush, 3,evermore,3:05,3,05
2020,0.575,0.434,5,-8.193,1,0.0312,0.735,6.59e-5,0.105,0.348,145.916,229840,‘tis the damn season, 4,evermore,3:50,3,50
2020,0.316,0.361,9,-10.381,1,0.0488,0.878,2.67e-5,0.0797,0.221,74.952,245440,tolerate it, 5,evermore,4:05,4,05
2020,0.546,0.613,7,-7.589,0,0.0264,0.418,0,0.103,0.535,79.015,215626,"no body, no crime (feat. HAIM)", 6,evermore,3:36,3,36
2020,0.559,0.334,11,-10.733,1,0.0376,0.87,0,0.114,0.211,122.079,315146,happiness, 7,evermore,5:15,5,15
2020,0.605,0.488,4,-8.322,1,0.0264,0.696,0,0.129,0.354,119.966,225880,dorothea, 8,evermore,3:46,3,46
2020,0.537,0.537,8,-11.266,1,0.0617,0.819,9.04e-4,0.142,0.292,107.895,275320,coney island (feat. The National), 9,evermore,4:35,4,35
2020,0.515,0.545,2,-9.277,1,0.0353,0.855,1.97e-5,0.0921,0.535,88.856,260440,ivy,10,evermore,4:20,4,20
2020,0.604,0.517,0,-9.014,1,0.0347,0.768,1.55e-4,0.123,0.511,127.967,275040,cowboy like me,11,evermore,4:35,4,35
2020,0.546,0.73,0,-7.704,1,0.0417,0.66,0.179,0.0972,0.573,157.895,215920,long story short,12,evermore,3:36,3,36
2020,0.535,0.561,5,-11.609,1,0.0484,0.876,1.36e-4,0.115,0.287,96.103,257773,marjorie,13,evermore,4:18,4,18
2020,0.689,0.704,9,-10.813,1,0.245,0.835,4.83e-6,0.134,0.92,151.884,180653,closure,14,evermore,3:01,3,01
2020,0.39,0.27,1,-10.673,1,0.0308,0.937,0.00227,0.111,0.32,125.177,304106,evermore (feat. Bon Iver),15,evermore,5:04,5,04
2020,0.777,0.357,0,-6.942,1,0.0522,0.757,7.28e-6,0.108,0.172,139.883,210251,the 1, 1,folklore,3:30,3,30
2020,0.613,0.581,0,-8.588,0,0.0424,0.537,3.45e-4,0.25,0.551,130.033,239560,cardigan, 2,folklore,4:00,4,00
2020,0.686,0.662,7,-8.505,1,0.0413,0.467,0.0023,0.109,0.706,147.922,230999,the last great american dynasty, 3,folklore,3:51,3,51
2020,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-5,0.11,0.152,75.602,285634,exile (feat. Bon Iver), 4,folklore,4:46,4,46
2020,0.456,0.263,0,-10.63,1,0.0332,0.806,0,0.0749,0.111,129.86,255893,my tears ricochet, 5,folklore,4:16,4,16
2020,0.553,0.413,2,-10.037,1,0.0334,0.687,2.33e-6,0.0594,0.379,110.107,208977,mirrorball, 6,folklore,3:29,3,29
2020,0.596,0.488,4,-10.769,1,0.0274,0.9,2.7e-5,0.091,0.415,94.926,208906,seven, 7,folklore,3:29,3,29
2020,0.532,0.623,5,-9.208,1,0.0331,0.538,7.28e-5,0.0925,0.403,89.937,261922,august, 8,folklore,4:22,4,22
2020,0.515,0.476,9,-9.843,1,0.0328,0.314,4.74e-5,0.171,0.412,135.886,195097,this is me trying, 9,folklore,3:15,3,15
2020,0.559,0.31,10,-10.445,1,0.0338,0.881,0,0.106,0.46,119.845,190898,illicit affairs,10,folklore,3:11,3,11
2020,0.653,0.452,4,-11.143,0,0.055,0.838,7.73e-5,0.108,0.45,83.433,252880,invisible string,11,folklore,4:13,4,13
2020,0.592,0.699,3,-8.995,1,0.0471,0.655,1.68e-5,0.114,0.506,141.916,237258,mad woman,12,folklore,3:57,3,57
2020,0.354,0.267,1,-13.69,1,0.0281,0.731,4.02e-4,0.0858,0.113,94.219,289749,epiphany,13,folklore,4:50,4,50
2020,0.593,0.377,0,-8.761,1,0.0253,0.6,0,0.0976,0.502,95.939,294521,betty,14,folklore,4:55,4,55
2020,0.647,0.272,5,-12.906,1,0.0916,0.918,1.73e-5,0.0918,0.339,150.044,234000,peace,15,folklore,3:54,3,54
2020,0.662,0.181,8,-15.065,1,0.0415,0.966,3.86e-6,0.133,0.429,118.819,220042,hoax,16,folklore,3:40,3,40
2019,0.664,0.316,5,-10.345,1,0.519,0.298,2.03e-6,0.0812,0.541,92.875,170640,I Forgot That You Existed, 1,Lover,2:51,2,51
2019,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-5,0.105,0.564,169.994,178426,Cruel Summer, 2,Lover,2:58,2,58
2019,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-5,0.118,0.453,68.534,221306,Lover, 3,Lover,3:41,3,41
2019,0.777,0.658,0,-5.191,1,0.054,0.0767,0,0.0901,0.633,110.048,190360,The Man, 4,Lover,3:10,3,10
2019,0.292,0.574,0,-9.375,1,0.0401,0.12,0.00569,0.0663,0.166,124.344,211240,The Archer, 5,Lover,3:31,3,31
2019,0.897,0.366,0,-8.029,1,0.0569,0.00889,3.53e-4,0.0715,0.416,100.003,173386,I Think He Knows, 6,Lover,2:53,2,53
2019,0.662,0.747,11,-6.926,0,0.0736,0.028,0.00615,0.138,0.487,150.088,234146,Miss Americana & The Heartbreak Prince, 7,Lover,3:54,3,54
2019,0.811,0.719,9,-6.553,1,0.0497,0.0129,1.36e-5,0.0742,0.865,103.979,222400,Paper Rings, 8,Lover,3:42,3,42
2019,0.824,0.624,0,-9.728,1,0.0827,0.781,1.89e-4,0.1,0.248,102.012,287266,Cornelia Street, 9,Lover,4:47,4,47
2019,0.712,0.732,4,-6.754,1,0.0629,0.454,0,0.319,0.313,94.071,198533,Death By A Thousand Cuts,10,Lover,3:19,3,19
2019,0.695,0.71,1,-6.639,1,0.05,0.0246,1.04e-4,0.133,0.557,157.925,190240,London Boy,11,Lover,3:10,3,10
2019,0.433,0.182,0,-12.566,1,0.0641,0.907,0,0.123,0.421,207.476,201586,Soon You’ll Get Better (feat. The Chicks),12,Lover,3:22,3,22
2019,0.739,0.32,11,-10.862,0,0.239,0.736,1.47e-4,0.111,0.351,79.97,200306,False God,13,Lover,3:20,3,20
2019,0.771,0.671,2,-5.617,1,0.0553,0.00929,0,0.0637,0.714,85.026,171360,You Need To Calm Down,14,Lover,2:51,2,51
2019,0.756,0.449,9,-8.746,1,0.0344,0.13,0,0.114,0.399,111.011,223293,Afterglow,15,Lover,3:43,3,43
2019,0.61,0.83,0,-4.105,1,0.0571,0.033,0,0.118,0.728,182.162,193000,ME! (feat. Brendon Urie of Panic! At The Disco),16,Lover,3:13,3,13
2019,0.737,0.175,10,-9.912,1,0.0401,0.971,3.37e-4,0.171,0.545,70.008,150440,It’s Nice To Have A Friend,17,Lover,2:30,2,30
2019,0.557,0.496,0,-9.602,1,0.0563,0.808,1.73e-4,0.0772,0.265,149.983,293453,Daylight,18,Lover,4:53,4,53
2017,0.613,0.764,2,-6.509,1,0.136,0.0527,0,0.197,0.417,160.015,208186,...Ready For It?, 1,reputation,3:28,3,28
2017,0.649,0.589,2,-6.237,1,0.0558,0.00845,0,0.108,0.151,159.073,244826,End Game, 2,reputation,4:05,4,05
2017,0.696,0.602,0,-6.156,0,0.159,0.0679,2.11e-5,0.0696,0.305,82.989,238253,I Did Something Bad, 3,reputation,3:58,3,58
2017,0.615,0.534,9,-6.719,0,0.0386,0.106,1.76e-5,0.0607,0.193,135.917,236413,Don’t Blame Me, 4,reputation,3:56,3,56
2017,0.75,0.404,9,-10.178,0,0.0682,0.216,3.57e-4,0.0911,0.0499,95.045,232253,Delicate, 5,reputation,3:52,3,52
2017,0.766,0.709,9,-6.471,0,0.123,0.204,1.41e-5,0.126,0.506,128.07,211853,Look What You Made Me Do, 6,reputation,3:32,3,32
2017,0.574,0.61,2,-7.283,1,0.0732,0.122,1.1e-6,0.13,0.374,74.957,227906,So It Goes..., 7,reputation,3:48,3,48
2017,0.8,0.535,7,-6.684,1,0.135,0.0713,9.48e-6,0.213,0.451,92.027,209680,Gorgeous, 8,reputation,3:30,3,30
2017,0.562,0.689,2,-6.745,1,0.127,0.00465,2.23e-6,0.0888,0.351,172.054,233626,Getaway Car, 9,reputation,3:54,3,54
2017,0.675,0.703,0,-7.902,1,0.0382,0.00882,2.21e-6,0.0391,0.314,110.01,214320,King Of My Heart,10,reputation,3:34,3,34
2017,0.624,0.691,0,-6.686,0,0.196,0.0604,1.1e-5,0.138,0.284,160.024,211506,Dancing With Our Hands Tied,11,reputation,3:32,3,32
2017,0.719,0.469,0,-8.792,1,0.0533,0.0329,0,0.169,0.0851,120.085,230373,Dress,12,reputation,3:50,3,50
2017,0.567,0.789,5,-5.986,1,0.115,0.0156,0,0.382,0.438,163.96,207133,This Is Why We Can't Have Nice Things,13,reputation,3:27,3,27
2017,0.598,0.504,9,-9.874,1,0.0731,0.186,2.21e-4,0.34,0.252,163.954,203506,Call It What You Want,14,reputation,3:24,3,24
2017,0.661,0.151,0,-12.864,1,0.0354,0.921,0,0.13,0.23,94.922,235466,New Year’s Day,15,reputation,3:55,3,55
